"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022년 02월 07일","117.512","115.286","121.836","112.906","4.36M","1.93%"
"2022년 02월 06일","115.286","113.912","115.987","111.723","2.29M","1.21%"
"2022년 02월 05일","113.912","112.401","118.520","110.340","4.10M","1.35%"
"2022년 02월 04일","112.401","101.827","112.710","100.388","6.26M","10.55%"
"2022년 02월 03일","101.675","101.970","103.073","94.207","5.88M","-0.23%"
"2022년 02월 02일","101.908","109.981","112.266","97.121","7.80M","-7.34%"
"2022년 02월 01일","109.981","99.515","113.498","99.172","7.11M","10.39%"
"2022년 01월 31일","99.627","93.418","101.346","89.264","4.26M","6.68%"
"2022년 01월 30일","93.385","96.029","97.461","91.471","2.13M","-2.91%"
"2022년 01월 29일","96.186","91.375","98.676","90.709","3.44M","5.33%"
"2022년 01월 28일","91.318","89.513","93.526","87.338","4.59M","2.12%"
"2022년 01월 27일","89.422","91.905","94.404","85.887","5.83M","-2.70%"
"2022년 01월 26일","91.905","94.704","103.487","89.487","7.29M","-2.96%"
"2022년 01월 25일","94.704","91.849","99.882","87.585","5.83M","3.18%"
"2022년 01월 24일","91.784","99.770","99.835","80.919","10.99M","-8.00%"
"2022년 01월 23일","99.766","94.679","104.673","93.326","5.64M","5.39%"
"2022년 01월 22일","94.665","112.312","114.048","88.480","10.27M","-15.75%"
"2022년 01월 21일","112.362","127.639","128.651","106.543","8.18M","-11.99%"
"2022년 01월 20일","127.672","135.310","143.831","126.537","2.50M","-5.62%"
"2022년 01월 19일","135.276","141.337","142.663","132.969","2.05M","-4.25%"
"2022년 01월 18일","141.282","139.832","142.598","134.454","2.04M","1.04%"
"2022년 01월 17일","139.824","148.016","148.260","137.144","2.13M","-5.49%"
"2022년 01월 16일","147.954","147.660","151.918","146.174","1.52M","0.19%"
"2022년 01월 15일","147.677","146.158","149.524","144.147","1.52M","1.04%"
"2022년 01월 14일","146.162","146.096","150.584","142.044","2.35M","0.07%"
"2022년 01월 13일","146.061","151.530","157.712","145.590","3.04M","-3.55%"
"2022년 01월 12일","151.437","140.209","153.119","138.286","3.21M","8.01%"
"2022년 01월 11일","140.209","135.873","143.456","133.626","2.41M","3.12%"
"2022년 01월 10일","135.964","140.787","143.741","130.147","3.30M","-3.40%"
"2022년 01월 09일","140.755","142.033","145.664","137.890","2.21M","-0.90%"
"2022년 01월 08일","142.033","136.388","148.026","133.283","4.18M","4.13%"
"2022년 01월 07일","136.405","150.336","150.650","133.973","4.69M","-9.27%"
"2022년 01월 06일","150.336","154.483","154.721","146.344","2.91M","-2.72%"
"2022년 01월 05일","154.540","167.753","171.253","145.013","3.09M","-7.88%"
"2022년 01월 04일","167.767","170.084","173.867","166.560","1.65M","-1.34%"
"2022년 01월 03일","170.039","176.354","176.443","166.897","1.65M","-3.59%"
"2022년 01월 02일","176.367","179.083","179.496","174.428","1.08M","-1.51%"
"2022년 01월 01일","179.068","169.985","179.176","169.985","1.30M","5.34%"
"2021년 12월 31일","169.985","172.509","177.604","167.773","2.05M","-1.45%"
"2021년 12월 30일","172.482","170.602","175.697","168.382","1.86M","1.09%"
"2021년 12월 29일","170.626","177.191","180.581","170.434","2.59M","-3.68%"
"2021년 12월 28일","177.151","195.602","195.602","176.793","3.64M","-9.45%"
"2021년 12월 27일","195.645","197.801","204.712","194.865","1.90M","-1.07%"
"2021년 12월 26일","197.754","193.019","200.537","190.376","2.19M","2.40%"
